Quantidade;Data;Hora;Pergunta;Categoria;Departamento
2;01-12-2016;07:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;01-12-2016;07:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;01-12-2016;10:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;01-12-2016;11:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
2;01-12-2016;12:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;01-12-2016;13:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;01-12-2016;13:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;01-12-2016;13:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;01-12-2016;14:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;01-12-2016;14:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;01-12-2016;14:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;01-12-2016;15:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;01-12-2016;15:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;01-12-2016;15:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;01-12-2016;15:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;01-12-2016;15:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;01-12-2016;17:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;01-12-2016;17:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;01-12-2016;18:00:00;Como faço para me cadastrar no site?;CADASTRO;DTe-Service
1;02-12-2016;07:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;02-12-2016;07:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;02-12-2016;09:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;02-12-2016;10:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;02-12-2016;10:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;02-12-2016;10:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;02-12-2016;13:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;02-12-2016;17:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;02-12-2016;17:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;02-12-2016;17:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;02-12-2016;22:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;03-12-2016;11:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;03-12-2016;14:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;03-12-2016;20:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;03-12-2016;22:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;03-12-2016;22:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;03-12-2016;22:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
1;03-12-2016;22:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
3;03-12-2016;22:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;04-12-2016;01:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;04-12-2016;01:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;04-12-2016;01:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;04-12-2016;10:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;04-12-2016;10:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;04-12-2016;10:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
2;04-12-2016;10:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;04-12-2016;15:00:00;Como faço para alterar o endereço de entrega?;ENTREGA;DTe-Service
1;04-12-2016;15:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
2;04-12-2016;15:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;04-12-2016;15:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;04-12-2016;15:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;04-12-2016;15:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
2;04-12-2016;16:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;04-12-2016;16:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;04-12-2016;16:00:00;Como funciona o zíper?;PRODUTOS;DTe-Service
2;04-12-2016;16:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;04-12-2016;16:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;04-12-2016;16:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
2;04-12-2016;17:00:00;Como faço para alterar o endereço de entrega?;ENTREGA;DTe-Service
3;04-12-2016;17:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
2;04-12-2016;17:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
3;04-12-2016;17:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
2;04-12-2016;17:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
3;04-12-2016;17:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
2;04-12-2016;18:00:00;Como faço para alterar o endereço de entrega?;ENTREGA;DTe-Service
2;04-12-2016;18:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
2;04-12-2016;18:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
2;04-12-2016;18:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
2;04-12-2016;18:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
2;04-12-2016;18:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;04-12-2016;18:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
3;04-12-2016;20:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
2;04-12-2016;21:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
9;04-12-2016;21:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;04-12-2016;21:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;04-12-2016;21:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;05-12-2016;08:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;05-12-2016;10:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;05-12-2016;10:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
3;05-12-2016;10:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
2;05-12-2016;10:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;05-12-2016;11:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;05-12-2016;11:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;05-12-2016;11:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
2;05-12-2016;11:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;05-12-2016;12:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;05-12-2016;12:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
1;05-12-2016;12:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;05-12-2016;13:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
2;05-12-2016;13:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;05-12-2016;14:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;05-12-2016;14:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;05-12-2016;14:00:00;Como faço para me cadastrar no site?;CADASTRO;DTe-Service
1;05-12-2016;14:00:00;Como saber das promoções e descontos?;CADASTRO;DTe-Service
1;05-12-2016;14:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;05-12-2016;15:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;05-12-2016;15:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;05-12-2016;15:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;05-12-2016;15:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;05-12-2016;15:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;05-12-2016;17:00:00;Como faço para me cadastrar no site?;CADASTRO;DTe-Service
1;05-12-2016;21:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
2;05-12-2016;22:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;05-12-2016;22:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;05-12-2016;23:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;06-12-2016;01:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;06-12-2016;09:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;06-12-2016;10:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
2;06-12-2016;11:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
2;06-12-2016;11:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
2;06-12-2016;11:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
2;06-12-2016;12:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;06-12-2016;13:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;06-12-2016;13:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
2;06-12-2016;13:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;06-12-2016;13:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;06-12-2016;14:00:00;Como faço para alterar o endereço de entrega?;ENTREGA;DTe-Service
1;06-12-2016;14:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;06-12-2016;14:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
1;06-12-2016;14:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;06-12-2016;14:00:00;Tenho um zíper com defeito de fabricação. Como é feita a troca?;TROCA FÁCIL;DTe-Service
1;06-12-2016;16:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;06-12-2016;16:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;06-12-2016;16:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;06-12-2016;16:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;06-12-2016;20:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;06-12-2016;21:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;06-12-2016;22:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
2;06-12-2016;22:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;07-12-2016;07:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;07-12-2016;08:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
3;07-12-2016;08:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
1;07-12-2016;09:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;07-12-2016;09:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;07-12-2016;10:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;07-12-2016;10:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;07-12-2016;11:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;07-12-2016;13:00:00;Esqueci minha senha, e agora?;CADASTRO;DTe-Service
1;07-12-2016;13:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
1;07-12-2016;14:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
1;07-12-2016;15:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;07-12-2016;15:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;07-12-2016;16:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;07-12-2016;16:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;07-12-2016;16:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;07-12-2016;16:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;07-12-2016;17:00:00;Como faço para alterar o endereço de entrega?;ENTREGA;DTe-Service
1;07-12-2016;17:00:00;O que fazer se o produto adquirido apresentar algum defeito de fabricação?;TROCA FÁCIL;DTe-Service
1;07-12-2016;17:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;07-12-2016;17:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;07-12-2016;17:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;07-12-2016;17:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
2;07-12-2016;17:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;07-12-2016;17:00:00;Tenho um zíper com defeito de fabricação. Como é feita a troca?;TROCA FÁCIL;DTe-Service
1;07-12-2016;17:00:00;Preço na loja online diferente da loja física?;Pagamento;DTe-Service
1;07-12-2016;18:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;07-12-2016;18:00:00;Posso trocar meu brinde?;TROCA FÁCIL;DTe-Service
2;07-12-2016;18:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;07-12-2016;19:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;08-12-2016;01:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;08-12-2016;01:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;08-12-2016;01:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;08-12-2016;01:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;08-12-2016;01:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;08-12-2016;13:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;08-12-2016;13:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;08-12-2016;13:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;08-12-2016;13:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;08-12-2016;13:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;08-12-2016;14:00:00;O que fazer se o produto adquirido apresentar algum defeito de fabricação?;TROCA FÁCIL;DTe-Service
2;08-12-2016;14:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
4;08-12-2016;14:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;08-12-2016;14:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
3;08-12-2016;14:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
4;08-12-2016;14:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;08-12-2016;14:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
2;08-12-2016;14:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
3;08-12-2016;14:00:00;Como funciona o zíper?;PRODUTOS;DTe-Service
4;08-12-2016;14:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;08-12-2016;16:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;08-12-2016;20:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;08-12-2016;20:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
3;08-12-2016;20:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;08-12-2016;21:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;08-12-2016;22:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;09-12-2016;00:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;09-12-2016;01:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;09-12-2016;04:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;09-12-2016;04:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;09-12-2016;06:00:00;Como funciona o zíper?;PRODUTOS;DTe-Service
1;09-12-2016;06:00:00;Quais são as formas de pagamento?;PAGAMENTO;DTe-Service
1;09-12-2016;09:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;09-12-2016;09:00:00;Solicitei uma troca. Em quanto tempo receberei meu produto?;TROCA FÁCIL;DTe-Service
1;09-12-2016;09:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;09-12-2016;09:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;09-12-2016;11:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;09-12-2016;11:00:00;Como devo preparar o produto para devolução?;TROCA FÁCIL;DTe-Service
1;09-12-2016;11:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
1;09-12-2016;11:00:00;Solicitei uma devolução. Em quanto tempo serei reembolsado?;TROCA FÁCIL;DTe-Service
1;09-12-2016;11:00:00;Qual é a política de entrega?;ENTREGA;DTe-Service
1;09-12-2016;11:00:00;É possível comprar e pedir para entregar no exterior?;ENTREGA;DTe-Service
1;09-12-2016;11:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;09-12-2016;11:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
2;09-12-2016;11:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;09-12-2016;11:00:00;Posso agendar a entrega?;ENTREGA;DTe-Service
1;09-12-2016;12:00:00;Qual o prazo para que eu solicite a troca/devolução?;TROCA FÁCIL;DTe-Service
3;09-12-2016;12:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;09-12-2016;12:00:00;Como acompanhar meu pedido?;MEUS PEDIDOS;DTe-Service
4;09-12-2016;13:00:00;Como solicito a troca/devolução de um produto adquirido na loja online?;TROCA FÁCIL;DTe-Service
1;09-12-2016;15:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
1;09-12-2016;16:00:00;Qual é o prazo de entrega?;ENTREGA;DTe-Service
1;09-12-2016;16:00:00;Qual o valor do frete?;ENTREGA;DTe-Service
